species,abv,order,family,diet,diet2,BM,RJLB,HI,CA,LMRL,p4L,p4W,m1L,m1W,m2L,m2W,m3L,m3W,LPRL,JLB,JMA,JMB,JMC,SUML,SUMW,MZW,PAW,SA,SB,SC,BL,SD,JD,SE
Mazama mazama,Mama  ,Art ,Cerv     ,Fr    ,Fr    ,22.8,1.828968639,1.30,167,3.86625,0.9075,0.56375,1.05,0.67875,1.17375,0.735,1.4675,0.6925,2.61875,7.07125,3.445,4.10375,3.83125,1.2,1.0225,2.0275,3.47625,8.4325,4.23375,6.59875,5.9575,2.67375,2.60625,2.0325
Moschus moschiferus,Momo  ,Art ,Mosc     ,MC    ,MC    ,13.5,1.867924528,1.98,155,2.92,0.70,0.38,0.73,0.50,0.90,0.51,1.20,0.52,1.75,5.45,2.67,3.30,3.14,0.88,0.79,2.45,2.79,6.98,3.69,4.74,4.26,2.48,1.99,1.40
Muntiacus muntjak vaginalis,Mumu  ,Art ,Cerv     ,MC    ,MC    ,25,1.73186303,1.81,155,4.31,0.93,0.49,1.09,0.70,1.23,0.76,1.62,0.72,2.76,7.46,3.58,4.30,3.93,1.29,1.05,2.58,3.43,8.73,4.60,6.76,6.11,3.31,2.93,1.91
Muntiacus reevesi,Mure  ,Art ,Cerv     ,MC    ,MC    ,13.5,1.842615012,1.12,153,3.44,0.77,0.50,0.88,0.61,1.03,0.76,1.38,0.70,2.30,6.34,3.06,3.54,3.45,1.09,1.03,2.09,2.93,7.28,3.68,5.49,5.49,2.99,2.49,1.64
Nemorhaedus goral,Nego  ,Art ,Bovid    ,MO    ,MO    ,32,1.589552239,4.03,149,4.56,1.05,0.58,1.22,0.67,1.44,0.78,1.85,0.71,2.69,7.24,4.24,6.23,4.60,1.48,1.06,2.35,3.82,9.44,4.56,7.53,7.14,4.92,3.08,2.64
Neotragus moschatus,Nemo  ,Art ,Bovid    ,Br    ,Br    ,5,1.776785714,3.51,155,2.24,0.53,0.52,0.71,0.57,0.85,0.66,0.77,0.59,1.48,3.98,2.18,3.11,2.34,0.84,0.66,1.01,2.22,5.06,2.98,3.98,3.80,1.90,1.66,1.20
Odocoileus heminonus,Odhe  ,Art ,Cerv     ,Br    ,Br    ,74,2.017974573,1.59,163,5.70,1.42,0.79,1.54,0.90,1.87,1.00,2.45,0.94,3.99,11.51,5.28,7.49,5.51,1.79,1.31,3.67,4.66,12.39,6.68,10.60,8.99,5.22,3.47,3.30
Odocoileus virginianus,Odvi  ,Art ,Cerv     ,Br    ,Br    ,62,2.086827458,1.23,168,5.05,1.20,0.72,1.36,0.81,1.52,0.85,1.99,0.82,3.52,10.55,5.59,6.43,5.21,1.61,1.14,3.17,4.27,11.41,6.19,10.14,7.13,4.98,3.47,3.38
Okapia johnstoni,Okjo  ,Art ,Giraf    ,HBr   ,HBr   ,263,2.603773585,1.18,187,8.48,2.17,1.34,2.58,1.54,2.58,1.57,2.90,1.66,6.02,22.08,9.80,13.02,9.60,2.47,2.09,4.74,8.05,18.81,10.60,19.60,16.75,8.10,5.05,4.65
Oreamnus americanus,Oram  ,Art ,Bovid    ,MO    ,MO    ,78.4,1.483037157,2.76,136,6.19,1.58,0.63,1.53,0.77,2.04,0.77,2.40,0.87,2.57,9.18,7.30,7.20,5.90,1.36,1.20,3.27,4.35,12.73,6.16,10.86,7.10,8.78,4.34,2.55
Oryx gazalla,Orga  ,Art ,Bovid    ,MO    ,MO    ,200,1.603649265,3.37,153,8.46,1.74,0.99,1.99,1.38,2.78,1.42,3.36,1.24,4.17,13.56,10.14,12.86,9.49,2.83,1.97,5.36,5.97,16.87,8.07,16.95,11.62,10.81,4.81,5.17
Oreotragus oreotragus,Oror  ,Art ,Bovid    ,MO    ,MO    ,12.8,1.423399558,3.82,150,3.40,0.96,0.36,0.98,0.44,1.03,0.50,1.30,0.45,2.26,4.84,2.69,4.33,3.22,1.01,0.78,1.47,2.79,5.79,3.56,5.21,4.47,2.70,1.92,1.60
Ourebia ourebi,Ouou  ,Art ,Bovid    ,MO    ,MO    ,13,1.643003413,3.80,150,3.66,0.74,0.40,0.88,0.55,1.21,0.62,1.56,0.55,1.92,6.02,3.28,5.18,3.82,1.20,0.88,1.81,2.65,8.36,3.63,6.06,5.31,3.53,2.56,2.02
Ovis Canadensis nelsoni,Ovca  ,Art ,Bovid    ,MO    ,MO    ,59,1.501569038,4.11,145,6.37,1.25,0.72,1.62,0.87,1.98,0.96,2.50,0.87,2.93,9.57,6.47,7.02,5.57,1.97,1.36,3.10,4.91,12.89,5.92,10.65,8.29,8.03,3.44,3.53
Ovis dalli,Ovda  ,Art ,Bovid    ,MO    ,MO    ,56,1.524217366,4.08,152,5.64,1.03,0.65,1.41,0.79,1.76,0.88,2.30,0.75,2.49,8.60,6.10,6.79,5.06,1.82,1.19,3.16,4.46,11.56,5.25,10.95,8.06,7.62,3.87,3.91
Ovibos moschatus,Ovmo  ,Art ,Bovid    ,MO    ,MO    ,305,1.47794303,3.69,161,9.92,2.01,1.23,2.47,1.47,2.90,1.45,4.07,1.28,5.00,14.66,10.91,11.98,10.31,3.26,1.87,5.66,7.16,18.86,11.39,20.73,12.14,12.41,4.30,5.91
Ozotoceras bezoarticus,Ozbe  ,Art ,Cerv     ,MO    ,MO    ,38,1.761083744,2.12,160,4.06,1.00,0.50,1.15,0.60,1.10,0.62,1.52,0.58,2.36,7.15,3.22,4.51,3.71,1.12,0.92,2.23,3.60,7.90,4.70,6.55,4.50,2.84,2.86,2.34
Panthelops hodgsonii,Paho  ,Art ,Bovid    ,MO  ,MO    ,36.5,1.679569892,4.56,159,4.65,0.89,0.51,1.00,0.63,1.40,0.70,2.04,0.68,1.60,7.81,6.48,7.87,6.05,1.54,1.01,2.75,3.63,10.95,5.11,11.48,7.35,6.54,3.61,2.96
Pelea capreolus,Peca  ,Art ,Bovid    ,Br    ,Br  ,23,1.710176991,4.01,146,4.52,0.88,0.44,1.23,0.62,1.35,0.70,2.02,0.64,1.95,7.73,4.17,4.24,4.08,1.38,1.05,2.04,3.46,8.62,4.10,7.18,6.25,4.73,2.90,2.27
Phacochoerus aethiopicus,Phae  ,Art ,Suid     ,MO  ,GG,90,1.397476341,3.99,158,7.93,1.04,0.73,1.33,1.00,2.07,1.39,4.10,1.34,1.39,11.08,10.78,15.53,8.30,2.06,1.54,5.55,3.63,15.23,12.95,12.90,6.25,18.03,0.52,9.28
Potamochoerus porcus,Popo  ,Art ,Suid     ,Om    ,Om    ,78,1.470857418,1.34,166,6.92,1.56,0.55,1.73,1.01,2.16,1.21,2.78,1.22,3.85,10.18,8.02,11.01,7.28,2.20,1.48,4.18,2.74,9.32,11.81,10.59,9.92,10.01,1.13,7.05
Procavia capensis,Prca  ,Pers,Proc     ,MO    ,MO    ,3.8,0.785046729,1.69,170,2.14,0.66,0.355,0.65,0.4,0.775,0.43,0.74,0.38,1.375,1.68,1.45,3.86,3.05,0.8,0.65,1.07,1.385,3.55,2.77,3.605,2.9,1.22,0.295,1.18
